Saldobalanse 2025 - SUNLIT SEA AS,,,,,,
Nr,Kontotekst,Referansekonto,Importerte tall,Sluttposteringer,2025,2024
1005,"Forskning og utvikling, egenutviklet","1005 Aktiverte utviklingskostnader, egenutviklet",5648573.0,16053080.44,21701653.44,12210820.21
1200,Maskiner og anlegg,1200 Maskiner og anlegg (saldogruppe d),27800.0,0,27800.0,40438.61
1201,Pressverktøy,1290 Andre driftsmidler,4596800.0,0,4596800.0,4755264.83
1250,Inventar,"1250 Inventar, verktøy o.l. (saldogruppe d)",0,0,0,20324.01
1280,Kontormaskiner,1280 Kontormaskiner o.l. (saldogruppe a),0,0,0,9157.62
1380,Fordringer på ansatte,1570 Andre kortsiktige fordringer / 2990 Annen kortsiktig gjeld,0,0,0,1010.02
1400,Råvarer,1400 Råvarer og innkjøpte halvfabrikata,0,0,0,6298523.54
1500,Kundefordringer,1500 Kundefordringer / 2900 Forskudd fra kunder,476706.29,0,476706.29,376526.81
1530,"Opptjent, ikke fakturert driftsinntekt",1530 Opptjente ikke fakturerte driftsinntekter / 2900 Forskudd fra kunder,0,0,0,3091.89
1577,Lån til Brandtt Group B.V.,1570 Andre kortsiktige fordringer / 2990 Annen kortsiktig gjeld,57812.54,0,57812.54,109391.56
1579,Andre kortsiktige fordringer,1570 Andre kortsiktige fordringer / 2990 Annen kortsiktig gjeld,260542.04,0,260542.04,1411457.2
1580,Avsetning tap på kundefordringer,1580 Avsetning tap på kundefordringer,0,-272281.29,-272281.29,0
1670,Krav på offentlige tilskudd - Skattefunn,1671 Krav FoU Skattefunn,507180.0,0,507180.0,1258329.76
1740,Forskuddsbetalt lønn,1700 Forskuddsbetalt kostnad / 2960 Annen påløpt kostnad,71486.66,0,71486.66,0
1742,Forskuddsbetalt pensjonsforsikring,1700 Forskuddsbetalt kostnad / 2960 Annen påløpt kostnad,2591.0,0,2591.0,28288.0
1749,Andre forskuddsbetalte kostnader,1700 Forskuddsbetalt kostnad / 2960 Annen påløpt kostnad,21949.0,0,21949.0,0
1920,Handelsbanken 9051 13 17753 - Bedriftskonto,1920 Bankinnskudd / 2380 Kassakreditt,565953.95,0,565953.95,3399932.99
1921,Bankinnskudd kortkonto,1920 Bankinnskudd / 2380 Kassakreditt,0,0,0,1683.06
1924,Sparebank 1 .36297,1920 Bankinnskudd / 2380 Kassakreditt,0,0,0,248.5
1950,Bankinnskudd for skattetrekk  .35883,1950 Bankinnskudd for skattetrekk,97836.2,0,97836.2,46684.2
2000,Aksjekapital,2000 Aksjekapital/Egenkapital andre foretak,-33832.78,0,-33832.78,-31072.54
2010,Egne aksjer,2010 Egne aksjer,1832.1,0,1832.1,1453.28
2020,Overkurs,2020 Overkurs,-5117039.76,4453092.0,-663947.76,0
2030,Innskutt kapital transaksjoner med egne aksjer,2030 Annen innskutt egenkapital,-1191554.96,1191554.96,0,-1291351.73
2031,Annen innskutt egnkapital,2030 Annen innskutt egenkapital,5570.0,-5570.0,0,5570.0
2032,Ikke registrert kapitalforhøyelse,2001 Ikke registrert kapitalforhøyelse,0,0,0,-5119800.0
2080,Udekket tap,2080 Udekket tap,1597704.72,-1597704.72,0,5142475.21
2082,Endring av prinsipp,2080 Udekket tap,0,0,0,-3544770.49
2160,Uopptjent inntekt,2160 Uopptjent inntekt,-5146838.0,-13658538.04,-18805376.04,-12355557.91
2220,Innovasjon Norge risikolån,2220 Gjeld til kredittinstitusjoner,-1209090.88,0,-1209090.88,-1900000.0
2222,Lån 1080.89.74075 Sparebank 1,2220 Gjeld til kredittinstitusjoner,-3360973.0,0,-3360973.0,-3447152.0
2400,Leverandørgjeld,2400 Leverandørgjeld,-751018.36,0,-751018.36,-4300004.22
2600,Forskuddstrekk,2600 Forskuddstrekk,-97551.0,0,-97551.0,-139811.0
2700,"Utgående merverdiavgift, høy sats","2700 Utgående merverdiavgift, høy sats, MVA-kode 3",-96385.0,0,-96385.0,-90310.63
2702,"Utgående merverdiavgift, lav sats","2702 Utgående merverdiavgift, lav sats. MVA-kode 33",0,0,0,-915.5
2703,"Utgående merverdiavgift kjøp av tjenester fra utlandet, høy sats","2703 Utgående merverdiavgift, kjøp av tjenester fra utlandet, omvendt avg.pl., høy sats, MVA-kode 86 og 87",0,0,0,-7945.12
