Kontonummer;Kontonavn;Inngående balanse 2026-01-01;Jan;Feb;Mars;April;Mai;Juni;Juli;Aug;Sept;2026-09-17;2025-09-17;Endring - 2025-09-17
1005;"Forskning og utvikling, egenutviklet";5648573,00;5648573,00;5648573,00;5648573,00;5648573,00;5648573,00;5648573,00;5648573,00;5648573,00;5648573,00;5648573,00;12210820,21;-6562247,21
1200;"Maskiner og anlegg";27800,00;27800,00;27800,00;27800,00;27800,00;27800,00;27800,00;27800,00;27800,00;27800,00;27800,00;40438,61;-12638,61
1201;"Pressverktøy";4596800,00;4596800,00;4596800,00;4596800,00;4596800,00;4596800,00;4596800,00;4596800,00;4596800,00;4596800,00;4596800,00;4755264,83;-158464,83
1500;"Kundefordringer";476706,29;272281,29;69119,29;479206,62;272281,29;272281,29;272281,29;272281,29;272281,29;272281,29;272281,29;513739,36;-241458,07
1577;"Lån til Brandtt Group B.V.";57812,54;57812,54;57812,54;57812,54;57812,54;57812,54;57812,54;57812,54;57812,54;57812,54;57812,54;57812,54;0,00
1579;"Andre kortsiktige fordringer";260542,04;260542,04;153943,04;153943,04;153943,04;153943,04;153943,04;153943,04;153943,04;153943,04;153943,04;1199206,00;-1045262,96
1670;"Krav på offentlige tilskudd - Skattefunn";507180,00;507180,00;507180,00;507180,00;507180,00;507180,00;507180,00;507180,00;507180,00;507180,00;507180,00;1258329,76;-751149,76
1740;"Forskuddsbetalt lønn";71486,66;71486,66;71486,66;71486,66;71486,66;71486,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1742;"Forskuddsbetalt pensjonsforsikring";2591,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1749;"Andre forskuddsbetalte kostnader";21949,00;4887,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1920;"Handelsbanken 9051 13 17753 - Bedriftskonto";565953,95;383611,37;408790,05;113716,54;375540,67;130316,85;55255,35;28818,98;27490,33;1816,83;1816,83;167508,23;-165691,40
1924;"Sparebank 1 .36297";0,00;0,00;9283,00;13497,00;15501,00;18241,00;19992,00;22042,00;47042,00;72042,00;72042,00;0,50;72041,50
1950;"Bankinnskudd for skattetrekk  .35883";97836,20;285,20;285,20;285,20;285,20;285,20;285,20;285,20;285,20;285,20;285,20;74175,20;-73890,00
2000;"Aksjekapital";-33832,78;-33832,78;-33832,78;-33832,78;-33832,78;-33832,78;-33832,78;-33832,78;-33832,78;-33832,78;-33832,78;-31072,54;-2760,24
2010;"Egne aksjer";1832,10;1832,10;1832,10;1832,10;1832,10;1832,10;1832,10;1832,10;1832,10;1832,10;1832,10;1556,51;275,59
2020;"Overkurs";-5117039,76;-5117039,76;-5117039,76;-5117039,76;-5117039,76;-5117039,76;-5117039,76;-5117039,76;-5117039,76;-5117039,76;-5117039,76;0,00;-5117039,76
2030;"Innskutt kapital transaksjoner med egne aksjer";-1191554,96;-1191554,96;-1191554,96;-1191554,96;-1191554,96;-1191554,96;-1191554,96;-1191554,96;-1191554,96;-1191554,96;-1191554,96;-1191554,96;0,00
2031;"Annen innskutt egnkapital";5570,00;5570,00;5570,00;5570,00;5570,00;5570,00;5570,00;5570,00;5570,00;5570,00;5570,00;5570,00;0,00
2032;"Ikke registrert kapitalforhøyelse";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-5119800,00;5119800,00
2080;"Udekket tap";1597704,72;1597704,72;1597704,72;1597704,72;1597704,72;1597704,72;1597704,72;1597704,72;1597704,72;1597704,72;1597704,72;5142475,21;-3544770,49
2082;"Endring av prinsipp";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-3544770,49;3544770,49
3000;"Salgsinntekt, avgiftspliktig";-6013180,61;-6013180,61;-6013180,61;-6013180,61;-6013180,61;-6013180,61;-6013180,61;-6013180,61;-6013180,61;-6013180,61;-6013180,61;-5144420,61;-868760,00
3002;"Salgsinntekt, avgiftspliktig, lav sats";-7843,46;-7843,46;-7843,46;-7843,46;-7843,46;-7843,46;-7843,46;-7843,46;-7843,46;-7843,46;-7843,46;-7843,46;0,00
3090;"Opptjent, ikke fakturert inntekt";-2321992,38;-2321992,38;-2321992,38;-2321992,38;-2321992,38;-2321992,38;-2321992,38;-2321992,38;-2321992,38;-2321992,38;-2321992,38;-1349102,84;-972889,54
3107;"Salgsinntekt utførsel av varer og tjenester, avgiftsfri";-2336326,34;-2336326,34;-2336326,34;-2336326,34;-2336326,34;-2336326,34;-2336326,34;-2336326,34;-2336326,34;-2336326,34;-2336326,34;-2194541,50;-141784,84
3120;"Salgsinntekt strømsalg, avgiftspliktig";-3091,89;-3091,89;-3091,89;-168632,15;-168632,15;-168632,15;-168632,15;-168632,15;-168632,15;-168632,15;-168632,15;-3091,89;-165540,26
3200;"Salgsinntekt, utenfor avgiftsområdet";-31338,46;-31338,46;-31338,46;-31338,46;-31338,46;-31338,46;-31338,46;-31338,46;-31338,46;-31338,46;-31338,46;-31338,46;0,00
4000;"Innkjøp av råvarer og halvfabrikater";2269591,31;2322228,40;2322228,40;2322228,40;2322228,40;2322228,40;2322228,40;2322228,40;2322228,40;2322228,40;2322228,40;2778264,13;-456035,73
4001;"Innkjøp av råvarer og halvfabrikata";487921,15;487921,15;487921,15;487921,15;487921,15;487921,15;487921,15;487921,15;487921,15;487921,15;487921,15;487921,15;0,00
4060;"Frakt, toll og spedisjon";604436,39;604436,39;604436,39;604436,39;604436,39;604436,39;604436,39;604436,39;604436,39;604436,39;604436,39;604034,39;402,00
4090;"Beholdningsendring";6298523,54;6298523,54;6298523,54;6298523,54;6298523,54;6298523,54;6298523,54;6298523,54;6298523,54;6298523,54;6298523,54;0,00;6298523,54
4160;"Frakt, toll og spedisjon";640,00;640,00;640,00;640,00;640,00;640,00;640,00;640,00;640,00;640,00;640,00;640,00;0,00
4360;"Frakt, toll og spedisjon";4195,00;4195,00;4195,00;4195,00;4195,00;4195,00;4195,00;4195,00;4195,00;4195,00;4195,00;4195,00;0,00
4381;"Grunnlag mva innførsel";0,00;62842,00;62842,00;62842,00;62842,00;62842,00;62842,00;62842,00;62842,00;62842,00;62842,00;0,00;62842,00
4382;"Grunnlag mva innførsel - motkonto";0,00;-62842,00;-62842,00;-62842,00;-62842,00;-62842,00;-62842,00;-62842,00;-62842,00;-62842,00;-62842,00;0,00;-62842,00
4390;"Beholdningsendring";-6298523,54;-6298523,54;-6298523,54;-6298523,54;-6298523,54;-6298523,54;-6298523,54;-6298523,54;-6298523,54;-6298523,54;-6298523,54;-6298523,54;0,00
4500;"Fremmedytelse og underentreprise";1171281,27;1226281,27;1226281,27;1226281,27;1226281,27;1226281,27;1226281,27;1226281,27;1226281,27;1226281,27;1226281,27;1395169,09;-168887,82
5000;"Lønn til ansatte";11455193,87;11511745,87;11511745,87;11511745,87;11511745,87;11511745,87;11511745,87;11511745,87;11511745,87;11511745,87;11511745,87;10752064,87;759681,00
5001;"Reduksjon lønnskostnad - skattefunn";-480861,00;-480861,00;-480861,00;-480861,00;-480861,00;-480861,00;-480861,00;-480861,00;-480861,00;-480861,00;-480861,00;0,00;-480861,00
5020;"Feriepenger";1463072,91;1469859,15;1469859,15;1469859,15;1469859,15;1469859,15;1469859,15;1469859,15;1469859,15;1469859,15;1469859,15;1378697,43;91161,72
5210;"Fri telefon";54534,00;54534,00;54534,00;54534,00;54534,00;54534,00;54534,00;54534,00;54534,00;54534,00;54534,00;53070,00;1464,00
5220;"Fri avis";56498,46;56498,46;56498,46;56498,46;56498,46;56498,46;56498,46;56498,46;56498,46;56498,46;56498,46;46608,88;9889,58
5290;"Motkonto for gruppe 52";-111032,46;-111032,46;-111032,46;-111032,46;-111032,46;-111032,46;-111032,46;-111032,46;-111032,46;-111032,46;-111032,46;-99678,88;-11353,58
5320;"Annen oppgavepliktig personalforsikring";3195,00;3195,00;3195,00;3195,00;3195,00;3195,00;3195,00;3195,00;3195,00;3195,00;3195,00;0,00;3195,00
5395;"Annen oppgavepliktig godtgjørelse - ikke arbeidsgiveravgiftspliktig";50000,00;50000,00;50000,00;50000,00;50000,00;50000,00;50000,00;50000,00;50000,00;50000,00;50000,00;50000,00;0,00
5400;"Arbeidsgiveravgift";1890453,85;1898793,01;1896641,35;1896641,35;1896641,35;1896641,35;1895669,29;1895669,29;1895669,29;1895669,29;1895669,29;1786114,44;109554,85
5401;"Arbeidsgiveravgift av opptjente feriepenger";206293,39;207250,25;207250,25;207250,25;207250,25;207250,25;207250,25;207250,25;207250,25;207250,25;207250,25;194396,43;12853,82
5402;"Ekstra arbeidsgiveravgift";14175,77;14175,77;14175,77;14175,77;14175,77;14175,77;14175,77;14175,77;14175,77;14175,77;14175,77;14175,77;0,00
5510;"Trekkpliktig del av reise";4909,65;4909,65;4909,65;4909,65;4909,65;4909,65;4909,65;4909,65;4909,65;4909,65;4909,65;4909,65;0,00
5800;"Refusjon av sykepenger";-84113,00;-84113,00;-99373,00;-99373,00;-99373,00;-99373,00;-106267,00;-106267,00;-106267,00;-106267,00;-106267,00;-31793,00;-74474,00
5890;"Annen refusjon";-268441,00;-268441,00;-268441,00;-268441,00;-268441,00;-268441,00;-268441,00;-268441,00;-268441,00;-268441,00;-268441,00;-268441,00;0,00
5910;"Kantinekostnad";52954,88;52954,88;52954,88;52954,88;52954,88;52954,88;52954,88;52954,88;52954,88;52954,88;52954,88;52644,88;310,00
