month,scenario,rank,date_local,hour_local,peak_kw,solar_kw_at_peak_hour,net_import_kw_at_peak_hour
2026-01,baseline,1,2026-01-08,10,331.0,7.194,323.805
2026-01,baseline,2,2026-01-23,10,323.0,8.341,314.659
2026-01,baseline,3,2026-01-29,10,316.0,0.868,315.132
2026-01,with_solar,1,2026-01-08,10,323.805,7.194,323.805
2026-01,with_solar,2,2026-01-29,10,315.132,0.868,315.132
2026-01,with_solar,3,2026-01-23,10,314.659,8.341,314.659
2026-02,baseline,1,2026-02-19,10,314.5,8.611,305.889
2026-02,baseline,2,2026-02-16,7,311.5,0.0,311.5
2026-02,baseline,3,2026-02-13,10,304.5,30.026,274.474
2026-02,with_solar,1,2026-02-16,7,311.5,0.0,311.5
2026-02,with_solar,2,2026-02-19,10,305.889,8.611,305.889
2026-02,with_solar,3,2026-02-17,7,295.5,0.0,295.5
2026-03,baseline,1,2026-03-25,10,410.5,170.966,239.534
2026-03,baseline,2,2026-03-23,10,391.0,168.333,222.667
2026-03,baseline,3,2026-03-16,11,388.5,67.225,321.276
2026-03,with_solar,1,2026-03-09,7,360.048,2.452,360.048
2026-03,with_solar,2,2026-03-16,8,344.149,23.351,344.149
2026-03,with_solar,3,2026-03-04,8,341.698,8.302,341.698
2026-04,baseline,1,2026-04-22,11,376.5,183.266,193.234
2026-04,baseline,2,2026-04-23,10,375.0,142.13,232.87
2026-04,baseline,3,2026-04-15,8,372.5,77.65,294.849
2026-04,with_solar,1,2026-04-09,7,320.096,34.404,320.096
2026-04,with_solar,2,2026-04-15,7,299.438,54.062,299.438
2026-04,with_solar,3,2026-04-08,7,292.673,12.827,292.673
2026-05,baseline,1,2026-05-05,10,370.5,226.23,144.27
2026-05,baseline,2,2026-05-11,10,364.5,198.395,166.105
2026-05,baseline,3,2026-05-04,10,355.0,206.358,148.642
2026-05,with_solar,1,2026-05-19,12,300.123,18.377,300.123
2026-05,with_solar,2,2026-05-08,7,271.765,9.235,271.765
2026-05,with_solar,3,2026-05-11,7,254.446,99.554,254.446
2026-06,baseline,1,2026-06-18,10,382.5,175.586,206.914
2026-06,baseline,2,2026-06-19,10,380.0,126.256,253.744
2026-06,baseline,3,2026-06-25,10,376.5,87.62,288.88
2026-06,with_solar,1,2026-06-30,7,329.764,32.736,329.764
2026-06,with_solar,2,2026-06-25,10,288.88,87.62,288.88
2026-06,with_solar,3,2026-06-02,7,286.126,65.874,286.126
2026-07,baseline,1,2026-07-08,7,365.5,26.046,339.454
2026-07,baseline,2,2026-07-02,8,356.5,182.66,173.84
2026-07,baseline,3,2026-07-22,10,343.5,237.586,105.914
2026-07,with_solar,1,2026-07-08,7,339.454,26.046,339.454
2026-07,with_solar,2,2026-07-30,8,286.736,42.764,286.736
2026-07,with_solar,3,2026-07-24,8,276.477,26.023,276.477
2026-08,baseline,1,2026-08-27,7,385.5,58.254,327.246
2026-08,baseline,2,2026-08-26,10,354.5,170.555,183.945
2026-08,baseline,3,2026-08-13,10,333.0,165.267,167.733
2026-08,with_solar,1,2026-08-27,7,327.246,58.254,327.246
2026-08,with_solar,2,2026-08-18,10,286.374,25.626,286.374
2026-08,with_solar,3,2026-08-21,7,259.31,30.19,259.31
2026-09,baseline,1,2026-09-23,10,344.0,11.228,332.772
2026-09,baseline,2,2026-09-11,10,330.5,146.472,184.028
2026-09,baseline,3,2026-09-22,7,328.0,29.632,298.368
2026-09,with_solar,1,2026-09-23,10,332.772,11.228,332.772
2026-09,with_solar,2,2026-09-22,7,298.368,29.632,298.368
2026-09,with_solar,3,2026-09-30,7,280.8,10.7,280.8
2026-10,baseline,1,2026-10-13,6,320.5,0.0,320.5
2026-10,baseline,2,2026-10-21,9,272.0,51.667,220.333
2026-10,baseline,3,2026-10-02,10,269.0,145.128,123.872
2026-10,with_solar,1,2026-10-13,6,320.5,0.0,320.5
2026-10,with_solar,2,2026-10-20,7,262.0,0.0,262.0
2026-10,with_solar,3,2026-10-01,6,248.0,0.0,248.0
2026-11,baseline,1,2026-11-26,10,319.0,23.047,295.953
2026-11,baseline,2,2026-11-05,11,312.0,41.583,270.417
2026-11,baseline,3,2026-11-27,11,288.0,7.039,280.961
2026-11,with_solar,1,2026-11-26,10,295.953,23.047,295.953
2026-11,with_solar,2,2026-11-27,11,280.961,7.039,280.961
2026-11,with_solar,3,2026-11-29,14,279.0,0.0,279.0
2026-12,baseline,1,2026-12-16,7,328.0,0.0,328.0
2026-12,baseline,2,2026-12-10,11,325.5,2.234,323.266
2026-12,baseline,3,2026-12-04,7,309.0,0.0,309.0
2026-12,with_solar,1,2026-12-16,7,328.0,0.0,328.0
2026-12,with_solar,2,2026-12-10,11,323.266,2.234,323.266
2026-12,with_solar,3,2026-12-04,7,309.0,0.0,309.0
